pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,A1_weighted,A2_weighted,A3_weighted,A4_weighted,perturbation_score,rank
EGFR_160-185_PKT14,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1412,0.475,0.5667,0.0759,0.0353,0.1425,0.085,0.2475,131
EGFR_160-185_PKT14,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1412,0.475,0.5667,0.0759,0.0353,0.1425,0.085,0.2475,132
EGFR_160-185_PKT27,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1208,0.475,0.5667,0.0759,0.0302,0.1425,0.085,0.2475,133
EGFR_160-185_PKT27,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1208,0.475,0.5667,0.0759,0.0302,0.1425,0.085,0.2475,134
EGFR_160-185_PKT27,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1208,0.475,0.5667,0.0759,0.0302,0.1425,0.085,0.2475,135
EGFR_160-185_PKT29,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1166,0.475,0.5667,0.0759,0.0291,0.1425,0.085,0.2475,136
EGFR_160-185_PKT29,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1166,0.475,0.5667,0.0759,0.0291,0.1425,0.085,0.2475,137
EGFR_160-185_PKT29,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1166,0.475,0.5667,0.0759,0.0291,0.1425,0.085,0.2475,138
EGFR_160-185_PKT39,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1037,0.475,0.5667,0.0759,0.0259,0.1425,0.085,0.2475,139
EGFR_160-185_PKT39,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.1037,0.475,0.5667,0.0759,0.0259,0.1425,0.085,0.2475,140
EGFR_160-185_PKT39,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1037,0.475,0.5667,0.0759,0.0259,0.1425,0.085,0.2475,141
EGFR_160-185_PKT40,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.0938,0.475,0.5667,0.0759,0.0234,0.1425,0.085,0.2475,142
EGFR_160-185_PKT40,EGFR_160-185,97806,uncertain_mechanism_candidate,low,0.253,0.0938,0.385,0.5667,0.0759,0.0234,0.1155,0.085,0.2475,143
